filename,type,category,description,source,source_url,license_type,attribution,commercial_ok,deidentify,clearance,notes
20260601_real-kapoho-school-destruction.jpg,image,image,Kapoho school destruction.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Kapoho_school_destruction.jpg,Public domain,N,Y,N,🟡待人工確認,
20260601_real-kapoho-kai-st-pahoa-503746-20775450300.jpg,image,image,"Kapoho Kai St, Pahoa (503746) (20775450300).jpg",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Kapoho_Kai_St,_Pahoa_(503746)_(20775450300).jpg",CC BY 2.0,"Robert Linsdell from St. Andrews, Canada",Y,N,🟡待人工確認,
20260601_real-hawaii-big-island-cathy-robert-s-in-kapoho-65638.jpg,image,image,Hawaii - Big Island- Cathy & Robert's in Kapoho (6563812357).jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Hawaii_-_Big_Island-_Cathy_%26_Robert%27s_in_Kapoho_(6563812357).jpg,CC BY-SA 2.0,"Eli Duke from Portland, OR, USA",Y,N,🟡待人工確認,
20260601_real-kapoho-house-destruction-1.jpg,image,image,Kapoho house destruction (1).jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Kapoho_house_destruction_(1).jpg,Public domain,N,Y,N,🟡待人工確認,
20260601_real-washing-surf-lava-rock-puna-coast-of-hawaii-oil-.jpg,image,image,"'Washing Surf - Lava Rock, Puna Coast of Hawaii', oil painting by D. Howard Hitchcock, 1923, Cedar Street Galleries.jpg",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:%27Washing_Surf_-_Lava_Rock,_Puna_Coast_of_Hawaii%27,_oil_painting_by_D._Howard_Hitchcock,_1923,_Cedar_Street_Galleries.jpg",Public domain,N,Y,N,🟡待人工確認,
20260601_real-puna-coast-panoramio.jpg,image,image,Puna coast - panoramio.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Puna_coast_-_panoramio.jpg,CC BY-SA 4.0,This file was created by Thomas Tunsch . It is not in the public domain and use of this file outside of the licensing terms is a copyright violation. Please credit authorship as follows: © CC BY-SA Thomas Tunsch / Puna coast - panoramio.jpg (Wikimedia Commons) . Source attribution by linking to this file page ( //commons.wikimedia.org/wiki/File:Puna_coast_-_panoramio.jpg ) is recommended. The application Lizenzhinweisgenerator can help to reuse pictures from Wikipedia and the free media file repository easily and legally.,Y,N,🟡待人工確認,
20260601_real-puna-coast-a0004902-panoramio.jpg,image,image,Puna coast (a0004902) - panoramio.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Puna_coast_(a0004902)_-_panoramio.jpg,CC BY-SA 3.0,Thomas Tunsch,Y,N,🟡待人工確認,
20260601_real-puna-coast-panoramio-1.jpg,image,image,Puna coast - panoramio (1).jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Puna_coast_-_panoramio_(1).jpg,CC BY-SA 3.0,Thomas Tunsch,Y,N,🟡待人工確認,
20260601_real-big-island-hawaii.jpg,image,image,"Big Island, Hawaii.jpg",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Big_Island,_Hawaii.jpg",CC BY-SA 3.0 igo,European Space Agency,Y,N,🟡待人工確認,
20260601_real-big-island-southeastern-coast-near-kahakai-park.jpg,image,image,"Big Island, Southeastern coast (near Kahakai Park).jpg",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Big_Island,_Southeastern_coast_(near_Kahakai_Park).jpg",CC BY-SA 3.0,Frank Schulenburg,Y,N,🟡待人工確認,
