filename,type,category,description,source,source_url,license_type,attribution,commercial_ok,deidentify,clearance,notes
20260531_real-original-night-stalker-composite.jpg,image,sketch,Original Night Stalker Composite.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Original_Night_Stalker_Composite.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-ear-ons-mad-is-the-word-front.jpg,image,image,"EAR-ONS-""Mad is the Word"" Front.jpg",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:EAR-ONS-%22Mad_is_the_Word%22_Front.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-ear-ons-punishment-map.png,image,map,"EAR-ONS-""Punishment"" map.png",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:EAR-ONS-%22Punishment%22_map.png,Public domain,N,Y,N,🟡待人工確認,
20260531_real-ear-ons-mad-is-the-word-back.jpg,image,image,"EAR-ONS-""Mad is the Word"" Back.jpg",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:EAR-ONS-%22Mad_is_the_Word%22_Back.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-ear-ons-back-of-punishment-map.png,image,map,"EAR-ONS-Back of ""Punishment"" map.png",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:EAR-ONS-Back_of_%22Punishment%22_map.png,Public domain,N,Y,N,🟡待人工確認,
20260531_real-ear-ons-maggiore-suspects-1978.jpg,image,image,EAR-ONS Maggiore Suspects 1978.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:EAR-ONS_Maggiore_Suspects_1978.jpg,Public domain,N,Y,Y,🟡待人工確認,"敏感:含受害者/倖存者脈絡,使用須去識別"
20260531_real-ear-sketches.jpg,image,sketch,EAR Sketches.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:EAR_Sketches.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-original-night-stalker-east-area-rapist-golden-s.jpg,image,sketch,Original night stalker - east area rapist - golden state killer - cold case - artist rendering.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Original_night_stalker_-_east_area_rapist_-_golden_state_killer_-_cold_case_-_artist_rendering.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-original-night-stalker-east-area-rapist.jpg,image,image,Original Night Stalker-East Area Rapist.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Original_Night_Stalker-East_Area_Rapist.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-ear-openmask.gif,image,sketch,EAR-Openmask.gif,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:EAR-Openmask.gif,CC0,N,Y,N,🟡待人工確認,
20260531_real-open-mask-eastarearapist.png,image,sketch,Open-Mask-EastAreaRapist.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Open-Mask-EastAreaRapist.png,Public domain,N,Y,N,🟡待人工確認,
20260531_real-ons-composites.jpg,image,sketch,ONS composites.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:ONS_composites.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-original-night-stalker.jpg,image,image,Original Night Stalker.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Original_Night_Stalker.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-east-area-rapist.jpg,image,image,East Area Rapist.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:East_Area_Rapist.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-clues-sought-in-unsolved-east-area-rapist-case.webm,video,video,Clues Sought in Unsolved East Area Rapist Case.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Clues_Sought_in_Unsolved_East_Area_Rapist_Case.webm,Public domain,N,Y,N,🟡待人工確認,
20260531_real-ski-masks-worn-by-east-area-rapist.jpg,image,sketch,Ski Masks Worn by East Area Rapist.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ski_Masks_Worn_by_East_Area_Rapist.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-the-evidence-room.jpg,image,evidence,The Evidence Room.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:The_Evidence_Room.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-location-of-some-escapes-by-the-east-area-rapist.jpg,image,map,Location of Some Escapes by the East Area Rapist.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Location_of_Some_Escapes_by_the_East_Area_Rapist.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-shoelace-as-evidence-in-the-east-area-rapist-cas.jpg,image,evidence,Shoelace as Evidence in the East Area Rapist Case.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Shoelace_as_Evidence_in_the_East_Area_Rapist_Case.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-rapist-turns-to-murder.jpg,image,image,Rapist Turns to Murder.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rapist_Turns_to_Murder.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-keeping-tabs-on-the-case.jpg,image,image,Keeping Tabs on the Case.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Keeping_Tabs_on_the_Case.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-evidence-east-area-rapist.jpg,image,evidence,Evidence (East Area Rapist).jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Evidence_(East_Area_Rapist).jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-east-area-rapist-attacks-map.jpg,image,map,East Area Rapist Attacks Map.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:East_Area_Rapist_Attacks_Map.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-retired-sacramento-county-sheriff-s-detective-ra.webm,video,video,Retired Sacramento County Sheriff's Detective Ray Biondi.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Retired_Sacramento_County_Sheriff%27s_Detective_Ray_Biondi.webm,Public domain,N,Y,N,🟡待人工確認,
20260531_real-east-area-rapist-attacks-map.pdf,doc,court-doc,East Area Rapist Attacks Map.pdf,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:East_Area_Rapist_Attacks_Map.pdf,Public domain,N,Y,N,🟡待人工確認,
20260531_real-wanted-by-the-fbi-east-area-rapist.webm,video,video,Wanted by the FBI- East Area Rapist.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Wanted_by_the_FBI-_East_Area_Rapist.webm,Public domain,N,Y,N,🟡待人工確認,
20260531_real-fbi-special-agent-marcus-knutson.webm,video,video,FBI Special Agent Marcus Knutson.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:FBI_Special_Agent_Marcus_Knutson.webm,Public domain,N,Y,N,🟡待人工確認,
20260531_real-sacramento-county-sheriff-s-department-sgt-paul-.webm,video,video,Sacramento County Sheriff's Department Sgt. Paul Belli.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sacramento_County_Sheriff%27s_Department_Sgt._Paul_Belli.webm,Public domain,N,Y,N,🟡待人工確認,
20260531_real-east-area-rapist-press-conference-2018-04-25.webm,video,video,East Area Rapist Press Conference 2018 04 25.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:East_Area_Rapist_Press_Conference_2018_04_25.webm,Public domain,N,Y,N,🟡待人工確認,
20260531_real-home-ransacked-by-the-east-area-rapist.jpg,image,evidence,Home Ransacked by the East Area Rapist.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Home_Ransacked_by_the_East_Area_Rapist.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-sketch-of-the-east-area-rapist-suspect.jpg,image,sketch,Sketch of the East Area Rapist Suspect.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sketch_of_the_East_Area_Rapist_Suspect.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-p-v-deangelo-redacted-search-warrant-final.pdf,doc,court-doc,P v DeAngelo Redacted Search Warrant Final.pdf,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:P_v_DeAngelo_Redacted_Search_Warrant_Final.pdf,Public domain,N,Y,N,🟡待人工確認,
20260531_real-joseph-deangelo-mugshot.jpg,image,mugshot,Joseph DeAngelo mugshot.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Joseph_DeAngelo_mugshot.jpg,Public domain,N,Y,N,🟡待人工確認,
20260531_real-golden-state-killer-police-sketch-vs-mugshot.png,image,sketch,Golden State Killer police sketch vs mugshot.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Golden_State_Killer_police_sketch_vs_mugshot.png,CC0,N,Y,N,🟡待人工確認,
