filename,type,category,description,source,source_url,license_type,attribution,commercial_ok,deidentify,clearance,notes
20260606_real-us-army-cid-crime-scene-investigator.jpg,image,image,US Army CID crime scene investigator.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:US_Army_CID_crime_scene_investigator.jpg,Public domain,N,Y,N,🟡待人工確認,
20260606_real-burglary-attempt-p1140274.jpg,image,image,Burglary attempt p1140274.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Burglary_attempt_p1140274.jpg,CC BY-SA 3.0,David Monniaux,Y,N,🟡待人工確認,
20260606_real-normas.jpg,image,image,Normas.JPG,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Normas.JPG,CC BY-SA 3.0,No machine-readable author provided. Xqno assumed (based on copyright claims).,Y,N,🟡待人工確認,
20260606_real-our-lady-of-the-assassins-representation.jpg,image,image,Our Lady of the Assassins (representation).JPG,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Our_Lady_of_the_Assassins_(representation).JPG,Public domain,N,Y,N,🟡待人工確認,
20260606_real-stayner-mugshot.jpg,image,mugshot,Stayner - mugshot.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Stayner_-_mugshot.jpg,Public domain,N,Y,N,🟡待人工確認,
20260606_real-l-ngelanda-court-house-rj-ng-sweden-004.jpg,image,image,Långelanda court house Årjäng Sweden 004.JPG,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:L%C3%A5ngelanda_court_house_%C3%85rj%C3%A4ng_Sweden_004.JPG,CC BY-SA 3.0,Riggwelter,Y,N,🟡待人工確認,
20260606_real-losdoce.jpg,image,image,Losdoce.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Losdoce.jpg,Public domain,N,Y,N,🟡待人工確認,
20260606_real-sigvard-nilsson-thurneman.jpg,image,image,Sigvard-Nilsson-Thurneman.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sigvard-Nilsson-Thurneman.jpg,Public domain,N,Y,N,🟡待人工確認,
20260606_real-at-the-crazy-joe-spaziano-trialimg-2940.jpg,image,image,At the Crazy Joe Spaziano trialIMG 2940.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:At_the_Crazy_Joe_Spaziano_trialIMG_2940.jpg,CC BY 4.0,Embarking,Y,N,🟡待人工確認,
20260606_real-maryjanekelly-ripper-100.jpg,image,image,MaryJaneKelly Ripper 100.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:MaryJaneKelly_Ripper_100.jpg,Public domain,N,Y,N,🟡待人工確認,
20260606_real-crime-scene.jpg,image,image,Crime scene.JPG,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Crime_scene.JPG,Public domain,N,Y,N,🟡待人工確認,
20260606_real-beschlagnahmt02.jpg,image,image,Beschlagnahmt02.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Beschlagnahmt02.jpg,Public domain,N,Y,N,🟡待人工確認,
20260606_real-myyrmannin-r-j-hdys.jpg,image,image,Myyrmannin räjähdys.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Myyrmannin_r%C3%A4j%C3%A4hdys.jpg,Public domain,N,Y,N,🟡待人工確認,
20260606_real-angebot-arztpraxis.jpg,image,image,Angebot Arztpraxis.JPG,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Angebot_Arztpraxis.JPG,CC BY-SA 4.0,Mehlauge,Y,N,🟡待人工確認,
20260606_real-programa-de-medicina-general.png,image,image,Programa de Medicina General.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Programa_de_Medicina_General.png,CC BY-SA 4.0,Martin de Santa Cruz,Y,N,🟡待人工確認,
20260606_real-antibiotic-stewardship-sign.jpg,image,image,Antibiotic stewardship sign.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Antibiotic_stewardship_sign.jpg,CC0,N,Y,N,🟡待人工確認,
20260606_real-eden-med-spa.jpg,image,image,EDEN MED SPA.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:EDEN_MED_SPA.jpg,CC0,N,Y,N,🟡待人工確認,
20260606_real-1990s-decade-montage.png,image,image,1990s decade montage.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:1990s_decade_montage.png,Public domain,N,Y,N,🟡待人工確認,
20260606_real-1990s-decade-montage-3-0.jpg,image,image,1990s decade montage 3.0.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:1990s_decade_montage_3.0.jpg,CC BY 4.0,From a variety of images credited above.,Y,N,🟡待人工確認,
20260606_real-susanbubblegum.jpg,image,image,Susanbubblegum.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Susanbubblegum.jpg,CC BY-SA 4.0,Wonkerjunior,Y,N,🟡待人工確認,
20260606_real-2000s-wikiworld.png,image,image,2000s WikiWorld.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:2000s_WikiWorld.png,CC BY 2.5,User:Greg Williams,Y,N,🟡待人工確認,
20260606_real-2000s-decade-montage3.png,image,image,2000s decade montage3.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:2000s_decade_montage3.png,CC BY-SA 3.0,"A derivative work by CatJar , from a variety of images creditted above.",Y,N,🟡待人工確認,
20260606_real-2000s-decade.jpg,image,image,2000s decade.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:2000s_decade.jpg,CC BY-SA 3.0,Wikicurco,Y,N,🟡待人工確認,
20260606_real-2009-township-high-school-homecoming-promotion.png,image,image,2009 Township High School Homecoming Promotion.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:2009_Township_High_School_Homecoming_Promotion.png,CC0,N,Y,N,🟡待人工確認,
20260606_real-the-national-divorce-reform-league-an-abstract-o.pdf,doc,court-doc,"The National Divorce Reform League, An Abstract of its Annual Reports, October, 1885 (IA nationaldivorcer1885nati).pdf",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:The_National_Divorce_Reform_League,_An_Abstract_of_its_Annual_Reports,_October,_1885_(IA_nationaldivorcer1885nati).pdf",Public domain,N,Y,N,🟡待人工確認,
20260606_real-report-of-the-national-divorce-reform-league-for.pdf,doc,court-doc,"Report of the National Divorce Reform League for the Year Ending December 31, 1891 (IA reportofnational1891nati).pdf",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Report_of_the_National_Divorce_Reform_League_for_the_Year_Ending_December_31,_1891_(IA_reportofnational1891nati).pdf",Public domain,N,Y,N,🟡待人工確認,
20260606_real-report-of-the-national-divorce-reform-league-for.pdf,doc,court-doc,"Report of the National Divorce Reform League for the Year Ending December 31, 1889 (IA reportofnational1889nati).pdf",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Report_of_the_National_Divorce_Reform_League_for_the_Year_Ending_December_31,_1889_(IA_reportofnational1889nati).pdf",Public domain,N,Y,N,🟡待人工確認,
20260606_real-report-of-the-national-divorce-reform-league-for.pdf,doc,court-doc,"Report of the National Divorce Reform League for the Year Ending December 31, 1895 (IA reportofnational1895nati).pdf",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Report_of_the_National_Divorce_Reform_League_for_the_Year_Ending_December_31,_1895_(IA_reportofnational1895nati).pdf",Public domain,N,Y,N,🟡待人工確認,
