filename,type,category,description,source,source_url,license_type,attribution,commercial_ok,deidentify,clearance,notes
20260601_real-mugshot-k-rten.jpg,image,mugshot,Mugshot-Kürten.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Mugshot-K%C3%BCrten.jpg,Public domain,N,Y,N,🟡待人工確認,
20260601_real-bundesarchiv-bild-102-11502-polizeiaufnahme-eine.jpg,image,image,"Bundesarchiv Bild 102-11502, Polizeiaufnahme eines Massenmörders.jpg",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_102-11502,_Polizeiaufnahme_eines_Massenm%C3%B6rders.jpg",CC BY-SA 3.0 de,Unknown Unknown,Y,N,🟡待人工確認,
20260601_real-parkhotel-an-der-k-nigsallee-1a-ecke-corneliuspl.jpg,image,image,"Parkhotel an der Königsallee 1a, Ecke Corneliusplatz 1 in Düsseldorf, erbaut durch die Architekten Kayser, von Großheim und Wöhler von 1901 bis 1902, Blick über den Hofgarten.jpg",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Parkhotel_an_der_K%C3%B6nigsallee_1a,_Ecke_Corneliusplatz_1_in_D%C3%BCsseldorf,_erbaut_durch_die_Architekten_Kayser,_von_Gro%C3%9Fheim_und_W%C3%B6hler_von_1901_bis_1902,_Blick_%C3%BCber_den_Hofgarten.jpg",Public domain,N,Y,N,🟡待人工確認,
20260601_real-bundesarchiv-bild-102-11502-polizeiaufnahme-eine.jpg,image,image,"Bundesarchiv Bild 102-11502, Polizeiaufnahme eines Massenmörders (face).jpg",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_102-11502,_Polizeiaufnahme_eines_Massenm%C3%B6rders_(face).jpg",CC BY-SA 3.0 de,Unknown Unknown,Y,N,🟡待人工確認,
20260601_real-wilhelm-degode-sommertag-in-kaiserswerth-1920.jpg,image,image,Wilhelm Degode Sommertag in Kaiserswerth 1920.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Wilhelm_Degode_Sommertag_in_Kaiserswerth_1920.jpg,Public domain,N,Y,N,🟡待人工確認,
20260601_real-gesolei-siedlungskapelle.jpg,image,image,GeSoLei Siedlungskapelle.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:GeSoLei_Siedlungskapelle.jpg,Public domain,N,Y,N,🟡待人工確認,
20260601_real-gesolei.jpg,image,image,GeSoLei.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:GeSoLei.jpg,Public domain,N,Y,N,🟡待人工確認,
20260601_real-karl-sudhoff-orvost-rt-n-sz-az-els-sorban-k-z-pe.jpg,image,image,Karl Sudhoff orvostörténész az első sorban középen. Fortepan 74435.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Karl_Sudhoff_orvost%C3%B6rt%C3%A9n%C3%A9sz_az_els%C5%91_sorban_k%C3%B6z%C3%A9pen._Fortepan_74435.jpg,CC BY-SA 3.0,FOTO:Fortepan — ID 74435 : Adományozó/Donor: Semmelweis Egyetem Levéltára.,Y,N,🟡待人工確認,
20260601_real-angermund-v-ra-fortepan-6375.jpg,image,image,Angermund vára. Fortepan 6375.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Angermund_v%C3%A1ra._Fortepan_6375.jpg,CC BY-SA 3.0,FOTO:Fortepan — ID 6375 : Adományozó/Donor: Gádoros Lajos. archive copy at the Wayback Machine,Y,N,🟡待人工確認,
20260601_real-wilhelm-walther-k-ln-2-053-054-5811.tif,image,image,"Wilhelm Walther, Köln, 2-053-054-5811.tif",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Wilhelm_Walther,_K%C3%B6ln,_2-053-054-5811.tif",CC BY-SA 4.0,Wilhelm Walther († 1983),Y,N,🟡待人工確認,
